iter	Passed	Remaining
0	15	31833
1	20	20534
2	52	35002
3	61	30839
4	69	27660
5	77	25835
6	102	29198
7	112	28079
8	116	25723
9	121	24092
10	122	22166
11	155	25695
12	162	24836
13	172	24515
14	176	23384
15	183	22789
16	190	22259
17	195	21573
18	237	24728
19	274	27144
20	295	27817
21	332	29873
22	338	29085
23	368	30340
24	374	29622
25	398	30248
26	404	29547
27	439	30936
28	487	33152
29	516	33922
30	555	35268
31	580	35718
32	621	37049
33	651	37657
34	657	36892
35	663	36202
36	667	35428
37	695	35912
38	724	36423
39	756	37053
40	765	36591
41	768	35816
42	771	35134
43	775	34456
44	788	34253
45	820	34871
46	864	35932
47	900	36633
48	916	36508
49	925	36078
50	960	36718
51	967	36258
52	1004	36900
53	1039	37449
54	1073	37947
55	1086	37711
56	1090	37169
57	1100	36857
58	1127	37084
59	1135	36722
60	1173	37302
61	1180	36897
62	1215	37362
63	1251	37852
64	1260	37518
65	1271	37254
66	1296	37392
67	1322	37569
68	1348	37743
69	1365	37646
70	1390	37773
71	1414	37881
72	1420	37509
73	1441	37530
74	1469	37714
75	1495	37858
76	1520	37977
77	1547	38137
78	1557	37884
79	1579	37901
80	1590	37678
81	1608	37626
82	1634	37750
83	1661	37892
84	1675	37743
85	1699	37826
86	1713	37669
87	1727	37524
88	1732	37205
89	1755	37252
90	1781	37377
91	1798	37300
92	1832	37585
93	1842	37366
94	1857	37247
95	1886	37407
96	1912	37511
97	1926	37396
98	1965	37745
99	2011	38214
100	2023	38039
101	2025	37696
102	2027	37341
103	2035	37108
104	2059	37172
105	2092	37382
106	2102	37190
107	2131	37346
108	2149	37299
109	2190	37631
110	2234	38034
111	2242	37803
112	2251	37590
113	2285	37803
114	2328	38162
115	2358	38306
116	2365	38065
117	2389	38108
118	2414	38159
119	2441	38256
120	2468	38335
121	2495	38412
122	2502	38185
123	2523	38172
124	2529	37941
125	2551	37954
126	2578	38023
127	2606	38113
128	2630	38154
129	2656	38218
130	2668	38069
131	2692	38103
132	2718	38164
133	2742	38186
134	2769	38258
135	2795	38308
136	2822	38377
137	2854	38513
138	2885	38632
139	2915	38729
140	2925	38572
141	2948	38581
142	2961	38452
143	2986	38496
144	3015	38577
145	3047	38694
146	3055	38518
147	3060	38298
148	3083	38304
149	3110	38364
150	3133	38363
151	3164	38476
152	3192	38534
153	3218	38582
154	3245	38629
155	3272	38679
156	3299	38730
157	3327	38792
158	3363	38945
159	3390	38992
160	3416	39027
161	3444	39074
162	3471	39126
163	3498	39168
164	3525	39206
165	3532	39024
166	3558	39056
167	3585	39094
168	3613	39153
169	3638	39169
170	3672	39284
171	3703	39360
172	3738	39484
173	3767	39534
174	3803	39665
175	3827	39667
176	3854	39694
177	3880	39722
178	3906	39741
179	3930	39742
180	3956	39757
181	3984	39796
182	4010	39816
183	4035	39833
